Sector,Percentage Change,Region
CB9 8,2,Midlands
CB9 9,8,Midlands
CF10 1,-4,Wales
CF10 2,7,Wales
CF10 3,5,Wales
CF10 4,6,Wales
CF10 5,14,Wales
CF11 0,12,Wales
CF11 6,6,Wales
CF11 7,9,Wales
CF11 8,21,Wales
CF11 9,0,Wales
CF14 0,6,Wales
CF14 1,4,Wales
CF14 2,22,Wales
CF14 3,12,Wales
CF14 4,5,Wales
CF14 5,-5,Wales
CF14 6,5,Wales
CF14 7,9,Wales
CF14 9,-1,Wales
CF15 7,11,Wales
CF15 8,-6,Wales
CF15 9,-8,Wales
CF23 5,17,Wales
CF23 6,4,Wales
CF23 7,7,Wales
CF23 8,5,Wales
CF23 9,3,Wales
CF24 0,15,Wales
CF24 1,8,Wales
CF24 2,3,Wales
CF24 3,6,Wales
CF24 4,11,Wales
CF3 0,12,Wales
CF3 1,12,Wales
CF3 2,15,Wales
CF3 3,0,Wales
CF3 4,0,Wales
CF3 5,12,Wales
CF3 6,-32,Wales
CF31 1,2,Wales
CF31 2,6,Wales
CF31 3,9,Wales
CF31 4,6,Wales
CF31 5,5,Wales
CF32 0,2,Wales
CF32 7,15,Wales
CF32 8,21,Wales
CF32 9,5,Wales
CF33 4,5,Wales
CF33 6,9,Wales
CF34 0,24,Wales
CF34 9,3,Wales
CF35 5,-2,Wales
CF35 6,1,Wales
CF36 3,-2,Wales
CF36 5,14,Wales
CF37 1,15,Wales
CF37 2,-3,Wales
CF37 3,-21,Wales
CF37 4,2,Wales
CF37 5,-10,Wales
CF38 1,5,Wales
CF38 2,1,Wales
CF39 0,9,Wales
CF39 8,9,Wales
CF39 9,-1,Wales
CF40 1,2,Wales
CF40 2,-4,Wales
CF41 7,7,Wales
CF42 5,-6,Wales
CF42 6,0,Wales
CF43 3,24,Wales
CF43 4,3,Wales
CF44 0,1,Wales
CF44 6,-7,Wales
CF44 7,4,Wales
CF44 8,6,Wales
CF44 9,26,Wales
CF45 3,16,Wales
CF45 4,15,Wales
CF46 5,4,Wales
CF46 6,10,Wales
CF47 0,23,Wales
CF47 8,2,Wales
CF47 9,-13,Wales
CF48 1,7,Wales
CF48 2,-13,Wales
CF48 3,1,Wales
CF48 4,3,Wales
CF5 1,0,Wales
CF5 2,4,Wales
CF5 3,3,Wales
CF5 4,4,Wales
CF5 5,3,Wales
CF5 6,-21,Wales
CF61 1,20,Wales
CF61 2,0,Wales
CF62 3,-1,Wales
CF62 4,12,Wales
CF62 5,9,Wales
CF62 6,3,Wales
CF62 7,-7,Wales
CF62 8,6,Wales
CF62 9,-10,Wales
CF63 1,6,Wales
CF63 2,4,Wales
CF63 3,-4,Wales
CF63 4,-2,Wales
CF64 1,5,Wales
CF64 2,6,Wales
CF64 3,-12,Wales
CF64 4,15,Wales
CF64 5,-5,Wales
CF71 7,-3,Wales
CF72 8,-4,Wales
CF72 9,7,Wales
CF81 8,15,Wales
CF81 9,-12,Wales
CF82 6,-18,Wales
CF82 7,10,Wales
CF82 8,14,Wales
CF83 1,1,Wales
CF83 2,5,Wales
CF83 3,8,Wales
CF83 4,-8,Wales
CF83 8,1,Wales
CH1 1,17,North England
CH1 2,15,North England
CH1 3,-17,North England
CH1 4,1,North England
CH1 5,9,North England
CH1 6,5,North England
CH2 1,2,North England
CH2 2,8,North England
CH2 3,-1,North England
CH2 4,-5,North England
CH3 5,-6,North England
CH3 6,-20,North England
CH3 7,6,North England
CH3 8,15,North England
CH3 9,15,North England
CH4 0,-5,North England
CH4 7,15,North England
CH4 8,-7,North England
CH4 9,21,North England
CH41 0,10,North England
CH41 1,10,North England
CH41 2,8,North England
CH41 3,2,North England
CH41 4,-3,North England
CH41 5,6,North England
CH41 6,-21,North England
CH41 7,6,North England
CH41 8,-4,North England
CH41 9,-5,North England
CH42 0,4,North England
CH42 1,-9,North England
CH42 2,14,North England
CH42 3,10,North England
CH42 4,19,North England
CH42 5,-1,North England
CH42 6,17,North England
CH42 7,-4,North England
CH42 8,8,North England
CH42 9,16,North England
CH43 0,-10,North England
CH43 1,-29,North England
CH43 2,1,North England
CH43 3,7,North England
CH43 4,9,North England
CH43 5,0,North England
CH43 6,44,North England
CH43 7,12,North England
CH43 8,30,North England
CH43 9,10,North England
CH44 0,-6,North England
CH44 1,1,North England
CH44 2,-3,North England
CH44 3,4,North England
CH44 4,-4,North England
CH44 5,14,North England
CH44 6,6,North England
CH44 7,0,North England
CH44 8,6,North England
CH44 9,-1,North England
CH45 0,-7,North England
CH45 1,-1,North England
CH45 2,-11,North England
CH45 3,8,North England
CH45 4,2,North England
CH45 5,1,North England
